epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,7445.62,1.15564,0.85377,1.30896,0.84627,0.81286,0.86082,0.51481,1.11219,0.67262,1.15898,0.00144671,0.00144671,0.00144671
20,7824.6,1.15403,0.83623,1.30342,0.85232,0.81114,0.8645,0.52122,1.09808,0.68408,1.16157,0.00141597,0.00141597,0.00141597
21,8206.4,1.14254,0.82307,1.29335,0.83549,0.8435,0.87213,0.51851,1.13323,0.71503,1.18449,0.00138523,0.00138523,0.00138523
22,8598.68,1.1391,0.80048,1.28902,0.84496,0.81558,0.8731,0.51983,1.11826,0.67413,1.158,0.00135449,0.00135449,0.00135449
23,8998.01,1.12162,0.79256,1.28066,0.80954,0.85263,0.874,0.52817,1.10858,0.65068,1.14859,0.00132375,0.00132375,0.00132375
24,9390.65,1.12247,0.78364,1.27969,0.84142,0.84692,0.87535,0.52892,1.11201,0.6456,1.17608,0.00129302,0.00129302,0.00129302
25,9791.38,1.12152,0.78165,1.28306,0.86168,0.83475,0.88253,0.53873,1.10073,0.64606,1.16497,0.00126228,0.00126228,0.00126228
26,10181.7,1.11215,0.7545,1.27044,0.8613,0.84538,0.88588,0.53792,1.08021,0.63364,1.14033,0.00123154,0.00123154,0.00123154
27,10577.6,1.10533,0.74988,1.26659,0.85388,0.84496,0.88328,0.52972,1.1114,0.63526,1.15243,0.0012008,0.0012008,0.0012008
28,10970.4,1.10088,0.75811,1.26542,0.82801,0.87401,0.894,0.53565,1.09457,0.61862,1.15048,0.00117006,0.00117006,0.00117006
29,11366,1.0947,0.7215,1.25786,0.86223,0.86584,0.90039,0.54755,1.09072,0.62907,1.15903,0.00113932,0.00113932,0.00113932
30,11787.9,1.08717,0.72509,1.25635,0.85235,0.8623,0.89593,0.5476,1.06828,0.65314,1.13429,0.00110858,0.00110858,0.00110858
31,12251.2,1.07944,0.70892,1.24623,0.84093,0.85773,0.8866,0.54031,1.0845,0.62859,1.14095,0.00107785,0.00107785,0.00107785
32,12711.9,1.07985,0.70683,1.25047,0.84875,0.86332,0.89414,0.54068,1.08861,0.64747,1.15323,0.00104711,0.00104711,0.00104711
33,13173.5,1.07252,0.69966,1.24242,0.86922,0.85581,0.89567,0.549,1.08942,0.62103,1.15297,0.00101637,0.00101637,0.00101637
34,13634.6,1.06192,0.69488,1.23539,0.84661,0.86302,0.89818,0.54912,1.07603,0.60543,1.14227,0.000985631,0.000985631,0.000985631
35,14097.3,1.04309,0.68406,1.22717,0.87395,0.8372,0.90316,0.55929,1.03542,0.61279,1.11759,0.000954892,0.000954892,0.000954892
36,14559.8,1.03406,0.67158,1.22149,0.83476,0.87185,0.89716,0.55257,1.02811,0.59226,1.12584,0.000924154,0.000924154,0.000924154
37,15020.2,1.02741,0.66309,1.21557,0.87471,0.8424,0.89514,0.56281,1.02093,0.58867,1.11347,0.000893415,0.000893415,0.000893415
38,15437.5,1.02738,0.65643,1.22021,0.89262,0.82647,0.90092,0.56578,1.01066,0.59842,1.11497,0.000862677,0.000862677,0.000862677
39,15830.1,1.0121,0.64756,1.21333,0.84523,0.87206,0.90341,0.57424,0.9875,0.57976,1.1017,0.000831938,0.000831938,0.000831938
40,16229.4,0.99376,0.63762,1.20235,0.85544,0.87613,0.90825,0.5793,0.98804,0.57479,1.11117,0.0008012,0.0008012,0.0008012
41,16627.5,0.99681,0.63889,1.19623,0.87488,0.8518,0.9019,0.58066,0.98307,0.56509,1.13126,0.000770462,0.000770462,0.000770462
